Age,Gender,Category,ID_Victime
22.00,M,civilians,1.00
18.00,M,civilians,2.00
20.00,M,civilians,3.00
25.00,M,civilians,4.00
25.00,M,civilians,5.00
21.00,M,civilians,6.00
27.00,M,civilians,7.00
18.00,M,civilians,8.00
42.00,M,civilians,9.00
18.00,M,civilians,10.00
22.00,M,civilians,11.00
27.00,M,civilians,12.00
17.00,M,civilians,13.00
30.00,M,civilians,14.00
65.00,M,civilians,15.00
33.00,M,civilians,16.00
25.00,M,civilians,17.00
23.00,M,civilians,18.00
38.00,M,civilians,19.00
45.00,F,civilians,20.00
17.00,M,civilians,21.00
30.00,M,civilians,22.00
19.00,M,civilians,23.00
46.00,M,civilians,24.00
21.00,M,civilians,25.00
24.00,M,civilians,26.00
16.00,M,civilians,27.00
39.00,M,civilians,28.00
17.00,M,civilians,29.00
17.00,M,civilians,30.00
22.00,M,civilians,31.00
15.00,F,civilians,32.00
22.00,M,civilians,33.00
21.00,M,civilians,34.00
30.00,M,civilians,35.00
31.00,M,civilians,36.00
37.00,M,civilians,37.00
18.00,M,civilians,38.00
33.00,M,civilians,39.00
1.00,M,civilians,40.00
32.00,M,civilians,41.00
27.00,F,civilians,42.00
19.00,M,civilians,43.00
16.00,M,civilians,44.00
24.00,M,civilians,45.00
15.00,M,civilians,46.00
18.00,M,civilians,47.00
39.00,M,civilians,48.00
15.00,M,civilians,49.00
17.00,M,civilians,50.00
25.00,M,civilians,51.00
18.00,M,civilians,52.00
21.00,M,civilians,53.00
20.00,M,civilians,54.00
35.00,M,civilians,55.00
52.00,M,civilians,56.00
40.00,M,civilians,57.00
33.00,M,civilians,58.00
26.00,M,civilians,59.00
22.00,M,civilians,60.00
15.00,M,civilians,61.00
14.00,M,civilians,62.00
17.00,M,civilians,63.00
46.00,M,civilians,64.00
35.00,M,civilians,65.00
22.00,M,civilians,66.00
19.00,M,civilians,67.00
24.00,M,civilians,68.00
23.00,M,civilians,69.00
27.00,M,civilians,70.00
23.00,M,civilians,71.00
,M,civilians,72.00
22.00,M,civilians,73.00
18.00,M,civilians,74.00
14.00,F,civilians,75.00
22.00,M,civilians,76.00
17.00,M,civilians,77.00
,M,civilians,78.00
17.00,M,civilians,79.00
40.00,M,civilians,80.00
20.00,M,civilians,81.00
21.00,M,civilians,82.00
25.00,M,civilians,83.00
22.00,M,civilians,84.00
22.00,M,civilians,85.00
27.00,M,civilians,86.00
.00,M,civilians,87.00
23.00,M,civilians,88.00
23.00,M,civilians,89.00
46.00,M,civilians,90.00
19.00,M,civilians,91.00
18.00,M,civilians,92.00
27.00,M,civilians,93.00
47.00,M,civilians,94.00
28.00,M,civilians,95.00
21.00,M,civilians,96.00
40.00,F,civilians,97.00
28.00,M,civilians,98.00
60.00,M,civilians,99.00
42.00,M,civilians,100.00
64.00,M,civilians,101.00
17.00,M,civilians,102.00
18.00,M,civilians,103.00
21.00,M,civilians,104.00
32.00,M,civilians,105.00
82.00,F,civilians,106.00
20.00,F,civilians,107.00
16.00,F,civilians,108.00
48.00,F,civilians,109.00
32.00,M,civilians,110.00
26.00,M,civilians,111.00
22.00,M,civilians,112.00
20.00,M,civilians,113.00
6.00,M,civilians,114.00
20.00,M,civilians,115.00
8.00,M,civilians,116.00
45.00,F,civilians,117.00
48.00,M,civilians,118.00
14.00,M,civilians,119.00
56.00,M,civilians,120.00
24.00,M,civilians,121.00
68.00,M,civilians,122.00
50.00,M,civilians,123.00
15.00,M,civilians,124.00
50.00,M,civilians,125.00
59.00,M,civilians,126.00
36.00,M,civilians,127.00
49.00,M,civilians,128.00
63.00,M,civilians,129.00
84.00,F,civilians,130.00
36.00,M,civilians,131.00
44.00,M,civilians,132.00
49.00,M,civilians,133.00
23.00,M,civilians,134.00
27.00,M,civilians,135.00
35.00,M,civilians,136.00
27.00,M,civilians,137.00
29.00,M,civilians,138.00
36.00,M,civilians,139.00
25.00,M,civilians,140.00
26.00,M,civilians,141.00
55.00,M,civilians,142.00
5.00,M,civilians,143.00
52.00,M,civilians,144.00
16.00,F,civilians,145.00
52.00,F,civilians,146.00
63.00,F,civilians,147.00
19.00,M,civilians,148.00
52.00,F,civilians,149.00
39.00,M,civilians,150.00
17.00,F,civilians,151.00
21.00,M,civilians,152.00
67.00,M,civilians,153.00
58.00,M,civilians,154.00
49.00,M,civilians,155.00
46.00,M,civilians,156.00
19.00,F,civilians,157.00
64.00,F,civilians,158.00
68.00,M,civilians,159.00
.00,M,civilians,160.00
74.00,F,civilians,161.00
29.00,F,civilians,162.00
34.00,M,civilians,163.00
45.00,M,civilians,164.00
30.00,M,civilians,165.00
35.00,M,civilians,166.00
70.00,M,civilians,167.00
25.00,M,civilians,168.00
25.00,M,civilians,169.00
35.00,M,civilians,170.00
71.00,M,civilians,171.00
46.00,F,civilians,172.00
29.00,F,civilians,173.00
60.00,F,civilians,174.00
48.00,M,civilians,175.00
13.00,F,civilians,176.00
58.00,M,civilians,177.00
33.00,F,civilians,178.00
42.00,M,civilians,179.00
23.00,F,civilians,180.00
38.00,F,civilians,181.00
45.00,M,civilians,182.00
41.00,M,civilians,183.00
21.00,F,civilians,184.00
51.00,M,civilians,185.00
32.00,M,civilians,186.00
49.00,M,civilians,187.00
18.00,M,civilians,188.00
40.00,M,civilians,189.00
54.00,M,civilians,190.00
59.00,M,civilians,191.00
51.00,M,civilians,192.00
76.00,M,civilians,193.00
78.00,M,civilians,194.00
41.00,M,civilians,195.00
31.00,M,civilians,196.00
30.00,F,civilians,197.00
64.00,M,civilians,198.00
25.00,M,civilians,199.00
25.00,M,civilians,200.00
25.00,M,civilians,201.00
55.00,M,civilians,202.00
60.00,M,civilians,203.00
43.00,M,civilians,204.00
68.00,M,civilians,205.00
55.00,M,civilians,206.00
26.00,F,civilians,207.00
17.00,M,civilians,208.00
.00,F,civilians,209.00
22.00,F,civilians,210.00
55.00,M,civilians,211.00
43.00,M,civilians,212.00
4.00,M,civilians,213.00
29.00,M,civilians,214.00
31.00,M,civilians,215.00
37.00,M,civilians,216.00
16.00,M,civilians,217.00
19.00,M,civilians,218.00
16.00,M,civilians,219.00
22.00,M,civilians,220.00
61.00,M,civilians,221.00
30.00,M,civilians,222.00
33.00,M,civilians,223.00
27.00,M,civilians,224.00
49.00,M,civilians,225.00
25.00,F,civilians,226.00
56.00,M,civilians,227.00
25.00,M,civilians,228.00
1.00,M,civilians,229.00
38.00,M,civilians,230.00
24.00,M,civilians,231.00
16.00,M,civilians,232.00
21.00,F,civilians,233.00
36.00,M,civilians,234.00
35.00,F,civilians,235.00
11.00,M,civilians,236.00
4.00,M,civilians,237.00
.00,F,civilians,238.00
45.00,F,civilians,239.00
47.00,M,civilians,240.00
24.00,M,civilians,241.00
33.00,F,civilians,242.00
52.00,F,civilians,243.00
45.00,M,civilians,244.00
56.00,M,civilians,245.00
16.00,M,civilians,246.00
39.00,F,civilians,247.00
27.00,M,civilians,248.00
27.00,M,civilians,249.00
86.00,M,civilians,250.00
68.00,M,civilians,251.00
33.00,F,civilians,252.00
54.00,F,civilians,253.00
51.00,M,civilians,254.00
70.00,F,civilians,255.00
48.00,M,civilians,256.00
53.00,M,civilians,257.00
51.00,M,civilians,258.00
37.00,M,civilians,259.00
53.00,M,civilians,260.00
26.00,M,civilians,261.00
19.00,M,civilians,262.00
18.00,M,civilians,263.00
15.00,M,civilians,264.00
15.00,M,civilians,265.00
16.00,M,civilians,266.00
18.00,M,civilians,267.00
16.00,M,civilians,268.00
47.00,M,civilians,269.00
73.00,F,civilians,270.00
29.00,M,civilians,271.00
36.00,M,civilians,272.00
32.00,F,civilians,273.00
42.00,M,civilians,274.00
26.00,M,civilians,275.00
32.00,M,civilians,276.00
27.00,M,civilians,277.00
43.00,M,civilians,278.00
57.00,F,civilians,279.00
59.00,M,civilians,280.00
18.00,M,civilians,281.00
31.00,M,civilians,282.00
60.00,M,civilians,283.00
26.00,M,civilians,284.00
45.00,M,civilians,285.00
43.00,F,civilians,286.00
29.00,M,civilians,287.00
47.00,M,civilians,288.00
63.00,M,civilians,289.00
58.00,F,civilians,290.00
16.00,M,civilians,291.00
20.00,F,civilians,292.00
48.00,M,civilians,293.00
58.00,F,civilians,294.00
35.00,M,civilians,295.00
26.00,M,civilians,296.00
