ID_Pays,Date of death,ID_Victime
pa,8/5/2023 0:00,1.00
pa,8/4/2023 0:00,2.00
pa,7/4/2023 0:00,3.00
pa,6/20/2023 0:00,4.00
pa,5/26/2023 0:00,5.00
pa,3/10/2023 0:00,6.00
pa,2/11/2023 0:00,7.00
pa,1/29/2023 0:00,8.00
pa,1/21/2023 0:00,9.00
pa,1/11/2023 0:00,10.00
pa,10/19/2022 0:00,11.00
pa,6/21/2022 0:00,12.00
pa,5/8/2022 0:00,13.00
pa,3/31/2022 0:00,14.00
pa,1/17/2022 0:00,15.00
pa,2/5/2021 0:00,16.00
pa,1/5/2021 0:00,17.00
pa,4/3/2019 0:00,18.00
pa,1/26/2019 0:00,19.00
pa,10/12/2018 0:00,20.00
pa,7/26/2018 0:00,21.00
pa,4/9/2018 0:00,22.00
pa,2/7/2018 0:00,23.00
pa,11/30/2017 0:00,24.00
pa,5/18/2017 0:00,25.00
pa,3/1/2017 0:00,26.00
pa,6/30/2016 0:00,27.00
pa,6/30/2016 0:00,28.00
pa,3/8/2016 0:00,29.00
pa,1/25/2016 0:00,30.00
pa,1/25/2016 0:00,31.00
pa,1/23/2016 0:00,32.00
pa,12/24/2015 0:00,33.00
pa,12/9/2015 0:00,34.00
pa,11/27/2015 0:00,35.00
pa,11/22/2015 0:00,36.00
pa,11/10/2015 0:00,37.00
pa,10/17/2015 0:00,38.00
pa,10/13/2015 0:00,39.00
pa,7/31/2015 0:00,40.00
pa,8/8/2015 0:00,41.00
pa,9/7/2015 0:00,42.00
pa,7/25/2014 0:00,43.00
pa,7/3/2014 0:00,44.00
pa,2/11/2011 0:00,45.00
pa,1/28/2011 0:00,46.00
pa,1/27/2011 0:00,47.00
pa,9/22/2010 0:00,48.00
pa,5/13/2010 0:00,49.00
pa,4/17/2009 0:00,50.00
pa,3/6/2008 0:00,51.00
pa,3/3/2008 0:00,52.00
pa,1/24/2008 0:00,53.00
pa,1/24/2008 0:00,54.00
pa,5/14/2007 0:00,55.00
pa,8/17/2005 0:00,56.00
pa,8/17/2005 0:00,57.00
pa,8/17/2005 0:00,58.00
pa,8/17/2005 0:00,59.00
pa,7/24/2005 0:00,60.00
pa,7/8/2005 0:00,61.00
pa,2/15/2005 0:00,62.00
pa,10/26/2004 0:00,63.00
pa,9/27/2004 0:00,64.00
pa,4/30/2003 0:00,65.00
pa,4/30/2003 0:00,66.00
pa,4/30/2003 0:00,67.00
pa,1/25/2003 0:00,68.00
pa,1/17/2003 0:00,69.00
pa,1/12/2003 0:00,70.00
pa,11/6/2002 0:00,71.00
pa,10/30/2002 0:00,72.00
pa,10/6/2002 0:00,73.00
pa,8/31/2002 0:00,74.00
pa,7/28/2002 0:00,75.00
pa,6/21/2002 0:00,76.00
pa,5/31/2002 0:00,77.00
pa,5/28/2002 0:00,78.00
pa,5/17/2002 0:00,79.00
pa,4/2/2002 0:00,80.00
pa,4/1/2002 0:00,81.00
pa,3/10/2002 0:00,82.00
pa,2/22/2002 0:00,83.00
pa,12/24/2001 0:00,84.00
pa,12/2/2001 0:00,85.00
pa,8/29/2001 0:00,86.00
pa,7/19/2001 0:00,87.00
pa,7/19/2001 0:00,88.00
pa,7/19/2001 0:00,89.00
pa,6/13/2001 0:00,90.00
pa,12/22/2000 0:00,91.00
pa,12/17/2000 0:00,92.00
pa,12/7/2000 0:00,93.00
pa,11/14/2000 0:00,94.00
pa,10/17/2000 0:00,95.00
pa,10/7/2000 0:00,96.00
is,8/21/2023 0:00,97.00
is,8/19/2023 0:00,98.00
is,8/19/2023 0:00,99.00
is,8/5/2023 0:00,100.00
is,6/20/2023 0:00,101.00
is,6/20/2023 0:00,102.00
is,6/20/2023 0:00,103.00
is,6/20/2023 0:00,104.00
is,5/30/2023 0:00,105.00
is,5/11/2023 0:00,106.00
is,4/7/2023 0:00,107.00
is,4/7/2023 0:00,108.00
is,4/11/2023 0:00,109.00
is,3/20/2023 0:00,110.00
is,2/27/2023 0:00,111.00
is,2/26/2023 0:00,112.00
is,2/26/2023 0:00,113.00
is,2/10/2023 0:00,114.00
is,2/10/2023 0:00,115.00
is,2/11/2023 0:00,116.00
